ward_id,household_count,income_range_in_thousands,avg_hh_size
281909,62,10-20,5
282001,140,0-10,5
282002,133,20-30,4
282003,152,20-30,5
282004,242,20-30,5
282005,74,10-20,6
282006,99,10-20,5
282007,41,0-10,5
282008,46,0-10,5
282009,70,10-20,6
282101,44,0-10,6
282102,85,0-10,5
282103,70,0-10,5
282104,99,0-10,6
282105,72,0-10,5
282106,118,10-20,6
282107,198,0-10,6
282108,99,0-10,5
282109,100,0-10,5
282201,212,0-10,5
282202,211,10-20,5
282203,306,10-20,5
282204,255,10-20,5
282205,131,10-20,5
282206,103,0-10,4
282207,243,0-10,5
282208,188,0-10,5
282209,248,0-10,5
282301,55,0-10,4
282302,82,0-10,5
282303,54,0-10,6
282304,67,0-10,4
282305,172,0-10,5
282306,108,0-10,4
282307,95,0-10,6
282308,133,0-10,4
282309,47,0-10,4
282401,67,0-10,5
282402,86,0-10,4
282403,112,0-10,5
282404,115,0-10,6
282405,89,0-10,6
282406,81,0-10,6
282407,153,0-10,5
282408,121,0-10,5
282409,145,0-10,6
282501,278,10-20,5
282502,159,20-30,5
282503,148,10-20,5
282504,178,0-10,5
282505,147,0-10,6
282506,240,0-10,5
282507,205,0-10,5
282508,170,0-10,5
282509,140,0-10,5
282601,135,0-10,6
282602,208,10-20,6
282603,97,0-10,5
282604,83,10-20,5
282605,178,10-20,5
282606,90,0-10,5
282607,100,0-10,6
282608,155,0-10,5
282609,77,0-10,5
282701,192,10-20,5
282702,172,10-20,5
282703,374,10-20,5
282704,201,10-20,5
282705,311,10-20,4
282706,199,10-20,5
282707,167,10-20,4
282708,171,10-20,5
282709,78,0-10,6
282801,104,10-20,5
282802,119,10-20,5
282803,131,0-10,5
282804,114,0-10,5
282805,84,10-20,5
282806,58,0-10,4
282807,69,10-20,6
282808,190,0-10,5
282809,118,0-10,5
282901,264,0-10,5
282902,320,0-10,5
282903,56,0-10,4
282904,111,0-10,5
282905,135,0-10,5
282906,136,0-10,6
282907,318,0-10,5
282908,110,0-10,6
282909,165,0-10,5
283001,153,0-10,5
283002,133,10-20,5
283003,99,10-20,5
283004,131,10-20,4
283005,145,0-10,5
283006,72,20-30,5
283007,86,0-10,4
283008,110,20-30,4
283009,88,0-10,4
283101,92,0-10,5
283102,99,10-20,4
283103,182,0-10,5
283104,176,0-10,4
283105,244,10-20,5
283106,288,0-10,5
283107,296,10-20,5
283108,99,10-20,6
283109,257,10-20,4
283201,68,10-20,5
283202,64,10-20,5
283203,47,10-20,5
283204,41,10-20,4
283205,56,10-20,5
283206,36,10-20,6
283207,58,0-10,5
283208,38,0-10,5
283209,69,0-10,5
283301,86,0-10,5
283302,98,0-10,5
283303,148,0-10,4
283304,457,20-30,5
283305,226,10-20,5
283306,181,0-10,5
283307,49,0-10,5
283308,111,0-10,6
283309,123,0-10,5
283401,97,0-10,4
283402,120,0-10,4
283403,57,0-10,4
283404,104,0-10,4
283405,59,0-10,4
283406,40,0-10,4
283407,130,0-10,5
283408,28,0-10,4
283409,51,0-10,4
283501,179,0-10,5
283502,122,0-10,5
283503,395,0-10,5
283504,111,10-20,5
283505,343,0-10,5
283506,279,0-10,5
283507,148,0-10,4
283508,156,0-10,5
283509,307,10-20,5
283601,130,0-10,5
283602,141,0-10,5
283603,132,0-10,5
283604,93,0-10,5
283605,100,0-10,5
283606,99,0-10,4
283607,201,10-20,5
283608,114,0-10,6
283609,103,0-10,6
283701,65,20-30,5
283702,72,10-20,6
283703,61,10-20,6
283704,63,10-20,5
283705,52,10-20,5
283706,79,10-20,6
283707,83,20-30,5
283708,115,10-20,5
283709,81,0-10,6
283801,270,0-10,6
283802,283,10-20,5
283803,185,0-10,5
283804,323,0-10,5
283805,173,0-10,4
283806,117,0-10,4
283807,211,0-10,6
283808,431,0-10,5
283809,408,0-10,4
283901,97,0-10,5
283902,116,0-10,5
283903,153,0-10,5
283904,80,0-10,5
283905,236,0-10,5
283906,86,0-10,5
283907,54,0-10,4
283908,98,10-20,5
283909,77,10-20,6
284001,83,10-20,4
284002,90,0-10,6
284003,106,0-10,5
284004,144,10-20,5
284005,157,0-10,5
284006,96,0-10,5
284007,75,0-10,5
284008,95,0-10,5
284009,148,0-10,4
284101,89,0-10,5
284102,269,0-10,6
284103,192,0-10,5
284104,95,0-10,7
284105,117,0-10,6
284106,149,0-10,6
284107,113,10-20,5
284108,91,0-10,6
284109,169,0-10,6
284201,275,0-10,5
284202,113,0-10,5
284203,300,10-20,4
284204,301,10-20,5
284205,250,0-10,5
284206,173,0-10,4
284207,252,0-10,5
284208,370,0-10,4
284209,56,0-10,4
284301,116,0-10,5
284302,65,0-10,5
284303,44,0-10,6
284304,77,0-10,6
284305,60,0-10,6
284306,60,0-10,6
284307,71,0-10,6
284308,129,0-10,5
284309,105,0-10,6
284401,102,0-10,5
284402,161,0-10,6
284403,98,0-10,5
284404,88,0-10,5
284405,85,0-10,6
284406,132,0-10,5
284407,184,0-10,6
284408,115,0-10,6
284409,164,0-10,6
284501,193,0-10,4
284502,72,0-10,4
284503,101,10-20,4
284504,92,10-20,4
284505,44,0-10,4
284506,114,20-30,5
284507,128,10-20,4
284508,146,0-10,5
284509,215,0-10,5
284601,135,0-10,7
284602,50,0-10,6
284603,53,0-10,5
284604,103,0-10,5
284605,79,0-10,6
284606,111,0-10,5
284607,91,0-10,5
284608,50,0-10,6
284609,168,0-10,5
284701,33,0-10,4
284702,53,10-20,4
284703,32,10-20,5
284704,85,20-30,4
284705,94,20-30,4
284706,34,0-10,5
284707,44,30-50,5
284708,109,20-30,4
284709,133,0-10,4
284801,108,10-20,5
284802,241,0-10,4
284803,194,10-20,4
284804,177,0-10,5
284805,262,10-20,4
284806,255,10-20,4
284807,134,20-30,5
284808,164,0-10,5
284809,113,10-20,5
284901,100,0-10,4
284902,108,10-20,5
284903,169,10-20,5
284904,143,0-10,5
284905,116,10-20,5
284906,75,10-20,6
284907,68,20-30,6
284908,121,20-30,5
284909,133,10-20,5
285001,62,0-10,5
285002,61,0-10,5
285003,38,0-10,5
285004,56,0-10,5
285005,63,0-10,6
285006,61,0-10,6
285007,104,0-10,5
285008,64,0-10,5
285009,39,0-10,6
285101,127,0-10,5
285102,79,0-10,5
285103,98,0-10,6
285104,108,0-10,5
285105,88,0-10,5
285106,131,0-10,4
285107,82,0-10,5
285108,125,0-10,5
285109,95,0-10,6
285201,70,10-20,6
285202,48,0-10,5
285203,61,10-20,5
285204,61,10-20,6
285205,58,10-20,5
285206,38,10-20,6
285207,62,10-20,5
285208,66,10-20,5
285209,30,10-20,5
285301,84,0-10,5
285302,115,20-30,6
285303,42,10-20,6
285304,72,0-10,6
285305,53,0-10,6
285306,57,0-10,7
285307,48,0-10,5
285308,65,0-10,5
285309,48,0-10,5
285401,52,10-20,5
285402,65,10-20,4
285403,58,10-20,5
285404,55,0-10,4
285405,54,0-10,4
285406,86,0-10,4
285407,77,0-10,5
285408,53,0-10,5
285409,127,0-10,5
285501,147,20-30,4
285502,108,30-50,5
285503,113,0-10,4
285504,204,0-10,4
285505,76,0-10,4
285506,90,0-10,5
285507,97,0-10,5
285508,80,0-10,5
285509,104,10-20,5
285601,127,0-10,4
285602,112,0-10,4
285603,117,0-10,5
285604,64,0-10,5
285605,86,0-10,5
285606,83,0-10,4
285607,121,0-10,5
285608,75,0-10,6
285609,99,0-10,5
285701,306,0-10,5
285702,120,0-10,5
285703,70,10-20,5
285704,114,10-20,6
285705,217,10-20,6
285706,155,10-20,5
285707,163,0-10,6
285708,143,0-10,5
285709,102,0-10,7
285801,123,0-10,5
285802,114,0-10,5
285803,66,0-10,6
285804,37,0-10,6
285805,63,0-10,5
285806,95,0-10,4
285807,72,0-10,5
285808,83,0-10,5
285809,151,10-20,5
285901,267,0-10,5
285902,150,0-10,5
285903,203,0-10,5
285904,151,0-10,5
285905,200,0-10,5
285906,255,0-10,5
285907,96,0-10,5
285908,380,10-20,5
285909,207,0-10,6
286001,103,0-10,6
286002,113,0-10,6
286003,90,10-20,6
286004,121,10-20,5
286005,108,0-10,6
286006,75,0-10,6
286007,116,0-10,6
286008,51,0-10,5
286009,111,0-10,5
286101,252,10-20,5
286102,230,10-20,5
286103,263,0-10,5
286104,251,0-10,4
286105,109,0-10,4
286106,160,0-10,5
286107,92,0-10,5
286108,80,0-10,5
286109,165,0-10,4
286201,243,0-10,6
286202,98,10-20,6
286203,37,0-10,4
286204,134,0-10,5
286205,110,0-10,5
286206,107,0-10,5
286207,104,10-20,6
286208,66,10-20,5
286209,66,10-20,6
290101,99,0-10,5
290102,256,10-20,5
290103,234,0-10,5
290104,161,0-10,6
290105,275,0-10,5
290106,99,0-10,5
290107,161,0-10,5
290108,91,0-10,6
290109,103,0-10,5
290201,57,0-10,4
290202,4,0-10,5
290203,22,0-10,4
290204,20,0-10,4
290205,13,0-10,5
290206,27,0-10,5
290207,26,0-10,4
290208,22,0-10,4
290209,9,0-10,4
290301,63,0-10,4
290302,63,10-20,4
290303,21,10-20,5
290304,68,10-20,4
290305,71,10-20,4
290306,49,10-20,4
290307,49,10-20,4
290308,40,10-20,5
290309,51,10-20,5
290401,56,10-20,4
290402,54,10-20,4
290403,48,10-20,4
290404,37,10-20,4
290405,45,0-10,5
290406,82,0-10,4
290407,176,10-20,4
290408,73,10-20,4
290409,84,10-20,5
290501,69,0-10,5
290502,35,10-20,4
290503,51,10-20,4
290504,63,10-20,4
290505,186,20-30,5
290506,33,0-10,4
290507,37,10-20,5
290508,112,10-20,4
290509,56,10-20,4
290601,38,0-10,5
290602,44,0-10,4
290603,38,0-10,4
290604,47,0-10,4
290605,92,0-10,4
290606,108,10-20,5
290607,81,0-10,5
290608,71,10-20,4
290609,29,0-10,4
290701,19,10-20,5
290702,12,0-10,4
290703,39,0-10,4
290704,25,10-20,5
290705,46,10-20,4
290706,33,10-20,4
290707,69,0-10,4
290708,34,10-20,5
290709,45,10-20,5
290801,71,0-10,4
290802,108,0-10,4
290803,103,0-10,4
290804,62,0-10,4
290805,89,0-10,4
290806,46,0-10,4
290807,78,0-10,5
290808,228,0-10,4
290809,75,0-10,4
290901,126,0-10,5
290902,162,0-10,4
290903,91,0-10,5
290904,122,0-10,5
290905,169,10-20,5
290906,95,10-20,6
290907,169,0-10,5
290908,131,0-10,5
290909,224,0-10,5
291001,219,0-10,5
291002,146,10-20,5
291003,164,0-10,4
291004,173,10-20,4
291005,144,0-10,4
291006,132,10-20,5
291007,99,10-20,5
291008,188,0-10,5
291009,112,0-10,4
291101,12,10-20,4
291102,14,10-20,4
291103,10,10-20,6
291104,10,0-10,3
291105,10,10-20,4
291106,10,0-10,4
291107,32,0-10,4
291108,9,0-10,4
291109,9,20-30,4
291201,28,0-10,5
291202,53,0-10,5
291203,110,0-10,4
291204,101,0-10,4
291205,68,0-10,4
291206,57,10-20,4
291207,43,10-20,5
291208,100,10-20,5
291209,92,0-10,4
291301,87,10-20,6
291302,76,10-20,5
291303,91,10-20,5
291304,83,10-20,6
291305,162,10-20,5
291306,157,10-20,6
291307,103,20-30,5
291308,151,20-30,5
291309,139,10-20,5
291401,37,0-10,4
291402,24,0-10,4
291403,102,0-10,4
291404,78,10-20,4
291405,67,0-10,5
291406,40,0-10,5
291407,49,0-10,4
291408,17,0-10,4
291409,229,0-10,4
291501,48,0-10,4
291502,34,0-10,4
291503,34,0-10,5
291504,41,0-10,4
291505,49,0-10,4
291506,58,0-10,4
291507,32,0-10,4
291508,73,0-10,4
291509,79,0-10,5
291601,47,0-10,4
291602,27,0-10,4
291603,36,0-10,4
291604,30,0-10,4
291605,13,0-10,5
291606,29,0-10,4
291607,33,0-10,4
291608,72,0-10,4
291609,40,0-10,5
291701,17,0-10,4
291702,6,0-10,4
291703,4,0-10,4
291704,38,10-20,4
291705,33,0-10,4
291706,17,10-20,5
291707,5,10-20,3
291708,6,10-20,4
291709,9,10-20,4
291801,224,0-10,5
291802,113,0-10,4
291803,40,0-10,4
291804,92,0-10,4
291805,96,0-10,5
291806,142,0-10,4
291807,183,0-10,4
291808,179,0-10,5
291809,98,0-10,6
300101,184,10-20,5
300102,72,10-20,5
300103,101,0-10,6
300104,109,10-20,6
300105,104,10-20,5
300106,210,10-20,5
300107,104,10-20,6
300108,113,10-20,5
300109,89,10-20,6
300201,199,0-10,5
300202,125,0-10,5
300203,162,0-10,6
300204,240,0-10,5
300205,264,10-20,5
300206,236,0-10,6
300207,449,0-10,5
300208,728,0-10,5
300209,631,10-20,5
300301,104,0-10,6
300302,114,0-10,5
300303,107,10-20,6
300304,142,0-10,5
300305,130,0-10,6
300306,73,0-10,5
300307,167,0-10,5
300308,149,0-10,5
300309,84,0-10,5
300401,387,10-20,4
300402,171,0-10,5
300403,141,0-10,6
300404,106,0-10,5
300405,316,0-10,5
300406,137,0-10,5
300407,259,10-20,5
300408,435,10-20,5
300409,285,0-10,5
300501,158,0-10,5
300502,218,10-20,6
300503,330,0-10,5
300504,368,0-10,5
300505,135,10-20,5
300506,327,0-10,5
300507,312,0-10,6
300508,334,0-10,5
300509,290,0-10,6
300601,127,0-10,5
300602,124,0-10,5
300603,93,0-10,6
300604,107,0-10,4
300605,169,0-10,5
300606,100,10-20,6
300607,122,0-10,6
300608,85,10-20,4
300609,149,10-20,5
300701,241,0-10,5
300702,207,10-20,4
300703,175,0-10,5
300704,145,0-10,4
300705,139,0-10,4
300706,182,10-20,5
300707,215,10-20,5
300708,223,10-20,5
300709,168,10-20,5
300801,189,0-10,5
300802,215,0-10,5
300803,290,0-10,4
300804,299,10-20,4
300805,187,0-10,4
300806,304,10-20,5
300807,215,20-30,4
300808,227,0-10,5
300809,326,10-20,5
300901,187,0-10,5
300902,186,10-20,5
300903,155,10-20,5
300904,215,10-20,5
300905,141,10-20,5
300906,126,0-10,5
300907,134,10-20,5
300908,248,10-20,5
300909,116,0-10,5
301001,151,0-10,5
301002,207,0-10,5
301003,95,0-10,5
301004,94,0-10,6
301005,122,0-10,5
301006,59,20-30,4
301007,240,20-30,4
301008,67,20-30,5
301009,96,10-20,4
301101,370,0-10,5
301102,135,0-10,6
301103,70,0-10,6
301104,156,0-10,6
301105,110,0-10,6
301106,122,0-10,5
301107,194,0-10,5
301108,119,0-10,5
301109,196,0-10,6
301201,166,0-10,6
301202,266,0-10,5
301203,95,0-10,6
301204,236,20-30,6
301205,101,0-10,6
301206,103,30-50,5
301207,106,50+,6
301208,102,10-20,6
301209,143,10-20,5
301301,884,10-20,5
301302,467,10-20,5
301303,89,0-10,5
301304,193,10-20,5
301305,96,0-10,6
301306,171,0-10,6
301307,118,0-10,6
301308,260,0-10,5
301309,81,0-10,6
301401,203,0-10,5
301402,228,0-10,5
301403,253,0-10,4
301404,94,0-10,4
301405,69,0-10,5
301406,260,0-10,5
301407,165,10-20,4
301408,139,0-10,5
301409,121,0-10,5
301501,143,0-10,5
301502,169,0-10,5
301503,166,0-10,5
301504,134,0-10,5
301505,154,0-10,5
301506,246,0-10,5
301507,116,0-10,6
301508,198,0-10,4
301509,184,0-10,5
301601,133,0-10,5
301602,221,10-20,5
301603,185,10-20,5
301604,125,10-20,5
301605,341,0-10,5
301606,260,10-20,6
301607,231,0-10,5
301608,388,10-20,5
301609,462,0-10,5
301701,335,0-10,5
301702,190,10-20,5
301703,178,0-10,6
301704,61,0-10,5
301705,48,10-20,5
301706,40,0-10,5
301707,61,10-20,5
301708,121,0-10,6
301709,50,0-10,6
301801,303,0-10,5
301802,221,0-10,5
301803,57,0-10,5
301804,154,0-10,6
301805,235,0-10,6
301806,147,0-10,6
301807,99,0-10,5
301808,162,0-10,5
301809,323,10-20,5
301901,250,10-20,6
301902,227,10-20,6
301903,173,10-20,6
301904,285,10-20,5
301905,197,10-20,5
301906,281,0-10,5
301907,142,0-10,4
301908,274,0-10,5
301909,220,0-10,4
302001,298,0-10,5
302002,320,10-20,5
302003,370,0-10,5
302004,311,0-10,4
302005,159,0-10,4
302006,369,0-10,5
302007,128,0-10,4
302008,213,0-10,4
302009,180,0-10,6
302101,163,10-20,5
302102,294,10-20,5
302103,149,10-20,5
302104,347,0-10,5
302105,127,20-30,5
302106,192,20-30,6
302107,273,10-20,5
302108,193,20-30,5
302109,147,10-20,6
302201,158,0-10,5
302202,86,10-20,5
302203,152,0-10,5
302204,200,0-10,5
302205,139,10-20,5
302206,258,0-10,5
302207,96,10-20,5
302208,123,10-20,5
302209,168,10-20,5
302301,147,0-10,5
302302,125,10-20,5
302303,160,0-10,5
302304,226,10-20,5
302305,241,0-10,5
302306,299,0-10,5
302307,159,0-10,6
302308,191,0-10,6
302309,134,0-10,5
302401,252,10-20,4
302402,157,10-20,4
302403,205,0-10,4
302404,113,0-10,4
302405,77,0-10,5
302406,118,10-20,5
302407,119,0-10,5
302408,115,0-10,5
302409,105,0-10,4
302501,247,0-10,5
302502,115,0-10,6
302503,136,0-10,6
302504,211,0-10,6
302505,144,0-10,6
302506,133,0-10,6
302507,145,0-10,5
302508,138,10-20,6
302509,155,10-20,5
302601,139,0-10,5
302602,282,0-10,5
302603,280,10-20,5
302604,299,0-10,5
302605,397,10-20,5
302606,288,0-10,5
302607,431,10-20,5
302608,278,0-10,5
302609,187,0-10,5
302701,147,0-10,5
302702,246,0-10,4
302703,163,0-10,5
302704,83,10-20,5
302705,125,0-10,4
302706,121,10-20,5
302707,243,0-10,4
302708,31,0-10,4
302709,118,0-10,5
302801,244,0-10,6
302802,160,0-10,6
302803,150,0-10,6
302804,236,0-10,6
302805,235,0-10,5
302806,136,0-10,6
302807,149,0-10,6
302808,58,0-10,6
302809,98,0-10,6
302901,359,0-10,6
302902,278,0-10,5
302903,293,0-10,5
302904,286,0-10,5
302905,151,0-10,5
302906,172,0-10,5
302907,217,0-10,5
302908,328,0-10,5
302909,515,10-20,5
303001,76,0-10,4
303002,109,0-10,4
303003,109,0-10,4
303004,113,0-10,4
303005,114,0-10,5
303006,73,0-10,5
303007,138,0-10,5
303008,32,0-10,4
303009,174,0-10,4
303101,48,0-10,6
303102,116,10-20,7
303103,145,10-20,6
303104,84,10-20,6
303105,64,10-20,7
303106,55,10-20,6
303107,138,20-30,6
303108,102,10-20,6
303109,103,20-30,6
303201,232,0-10,5
303202,479,0-10,4
303203,251,0-10,4
303204,231,0-10,5
303205,218,0-10,5
303206,183,0-10,4
303207,234,0-10,5
303208,154,0-10,5
303209,179,0-10,5
303301,130,0-10,5
303302,196,0-10,3
303303,350,0-10,4
303304,193,0-10,4
303305,227,0-10,5
303306,497,10-20,5
303307,221,0-10,4
303308,102,0-10,5
303309,219,0-10,4
303401,418,0-10,5
303402,499,10-20,4
303403,279,10-20,4
303404,387,10-20,5
303405,394,10-20,4
303406,336,10-20,5
303407,512,0-10,4
303408,376,0-10,5
303409,185,0-10,5
303501,349,10-20,4
303502,483,20-30,4
303503,289,0-10,4
303504,293,0-10,4
303505,1829,10-20,5
303506,267,10-20,5
303507,187,0-10,4
303508,182,0-10,4
303509,163,0-10,5
303601,166,0-10,6
303602,187,10-20,6
303603,140,0-10,5
303604,181,0-10,5
303605,151,0-10,6
303606,106,0-10,5
303607,73,10-20,6
303608,141,0-10,5
303609,104,10-20,5
303701,490,0-10,4
303702,544,0-10,4
303703,355,0-10,5
303704,184,0-10,5
303705,209,0-10,6
303706,269,0-10,5
303707,135,0-10,6
303708,196,0-10,6
303709,202,0-10,6
303801,163,0-10,5
303802,205,0-10,5
303803,87,0-10,4
303804,292,0-10,5
303805,161,0-10,4
303806,191,0-10,5
303807,160,0-10,4
303808,134,0-10,5
303809,278,0-10,4
303901,145,10-20,5
303902,91,10-20,5
303903,147,10-20,5
303904,141,10-20,5
303905,182,10-20,5
303906,90,20-30,4
303907,179,10-20,5
303908,247,10-20,5
303909,181,20-30,5
304001,183,20-30,5
304002,104,20-30,6
304003,100,20-30,6
304004,139,10-20,5
304005,160,10-20,5
304006,56,0-10,4
304007,186,0-10,5
304008,205,0-10,5
304009,187,0-10,5
304101,230,10-20,5
304102,278,0-10,5
304103,221,0-10,5
304104,179,0-10,5
304105,181,10-20,5
304106,201,10-20,4
304107,303,0-10,5
304108,448,0-10,5
304109,144,0-10,4
304201,194,0-10,5
304202,221,10-20,4
304203,408,10-20,4
304204,116,0-10,5
304205,164,0-10,4
304206,87,0-10,4
304207,144,0-10,4
304208,105,0-10,4
304209,60,0-10,4
304301,103,0-10,5
304302,71,0-10,5
304303,121,0-10,5
304304,98,0-10,5
304305,133,0-10,5
304306,112,0-10,4
304307,104,0-10,5
304308,150,0-10,5
304309,122,0-10,5
304401,129,10-20,6
304402,117,10-20,5
304403,103,0-10,5
304404,121,10-20,5
304405,149,10-20,6
304406,108,0-10,5
304407,80,0-10,5
304408,133,0-10,4
304409,112,10-20,5
304501,124,0-10,5
304502,128,0-10,5
304503,89,0-10,5
304504,75,0-10,6
304505,140,0-10,6
304506,107,0-10,6
304507,109,10-20,6
304508,112,0-10,6
304509,87,0-10,6
304601,177,10-20,5
304602,124,10-20,6
304603,68,10-20,6
304604,334,0-10,6
304605,127,10-20,6
304606,241,10-20,5
304607,384,10-20,5
304608,224,0-10,5
304609,100,10-20,7
304701,170,0-10,5
304702,160,0-10,6
304703,89,0-10,5
304704,107,0-10,4
304705,79,0-10,5
304706,113,0-10,5
304707,149,0-10,6
304708,144,0-10,5
304709,240,0-10,5
304801,139,10-20,6
304802,285,0-10,5
304803,507,10-20,5
304804,326,10-20,4
304805,171,0-10,4
304806,92,0-10,5
304807,155,10-20,5
304808,248,0-10,5
304809,308,10-20,6
304901,39,0-10,4
304902,66,0-10,5
304903,85,0-10,5
304904,92,0-10,5
304905,76,0-10,5
304906,71,0-10,4
304907,156,0-10,4
304908,104,0-10,4
304909,150,0-10,5
305001,144,10-20,5
305002,91,10-20,5
305003,233,10-20,5
305004,68,10-20,5
305005,51,0-10,6
305006,90,0-10,6
305007,118,0-10,6
305008,100,10-20,6
305009,86,10-20,6
310101,266,0-10,5
310102,226,0-10,6
310103,203,0-10,6
310104,135,0-10,5
310105,253,0-10,5
310106,197,0-10,6
310107,151,0-10,6
310108,195,10-20,6
310109,145,0-10,5
310201,257,0-10,5
310202,107,0-10,5
310203,249,0-10,5
310204,119,0-10,6
310205,139,0-10,5
310206,71,10-20,5
310207,216,0-10,5
310208,104,0-10,6
310209,82,10-20,5
310301,178,20-30,5
310302,312,10-20,5
310303,106,0-10,5
310304,217,0-10,5
310305,206,20-30,4
310306,238,10-20,4
310307,149,10-20,5
310308,194,0-10,6
310309,146,10-20,5
310401,669,0-10,5
310402,818,10-20,5
310403,615,20-30,5
310404,124,0-10,6
310405,950,10-20,5
310406,139,0-10,8
310407,243,0-10,7
310408,234,0-10,6
310409,209,0-10,5
310501,59,10-20,6
310502,62,10-20,7
310503,78,10-20,6
310504,43,30-50,7
310505,136,0-10,6
310506,74,0-10,5
310507,61,0-10,6
310508,72,0-10,7
310509,53,0-10,6
310601,117,10-20,5
310602,95,10-20,5
310603,112,10-20,5
310604,126,0-10,5
310605,64,0-10,6
310606,292,0-10,6
310607,291,0-10,5
310608,136,10-20,5
310609,103,0-10,4
310701,44,0-10,5
310702,140,0-10,6
310703,24,10-20,6
310704,103,0-10,7
310705,32,0-10,6
310706,99,0-10,6
310707,93,0-10,7
310708,113,0-10,6
310709,71,0-10,6
310801,194,0-10,5
310802,108,10-20,5
310803,115,0-10,6
310804,119,10-20,5
310805,151,0-10,5
310806,97,0-10,6
310807,204,0-10,6
310808,88,0-10,4
310809,145,0-10,5
310901,78,0-10,7
310902,33,0-10,5
310903,21,0-10,5
310904,23,0-10,6
310905,52,0-10,6
310906,24,10-20,7
310907,66,0-10,6
310908,50,0-10,8
310909,60,0-10,6
311001,88,0-10,5
311002,120,0-10,4
311003,75,0-10,4
311004,166,10-20,6
311005,112,0-10,6
311006,216,0-10,5
311007,143,0-10,6
311008,122,10-20,5
311009,194,0-10,4
311101,624,10-20,5
311102,778,10-20,5
311103,439,0-10,5
311104,131,10-20,5
311105,390,10-20,5
311106,238,0-10,5
311107,181,10-20,5
311108,212,0-10,5
311109,325,0-10,5
311201,209,10-20,5
311202,205,10-20,5
311203,199,10-20,5
311204,340,10-20,5
311205,302,0-10,5
311206,210,10-20,5
311207,326,0-10,5
311208,131,10-20,5
311209,173,10-20,6
311301,60,0-10,7
311302,84,0-10,6
311303,113,0-10,5
311304,66,0-10,6
311305,189,0-10,5
311306,53,10-20,6
311307,70,10-20,7
311308,49,0-10,6
311309,108,10-20,6
311401,82,0-10,6
311402,50,0-10,6
311403,132,0-10,6
311404,117,0-10,5
311405,266,0-10,6
311406,290,0-10,6
311407,42,0-10,6
311408,96,0-10,5
311409,85,0-10,6
311501,104,10-20,5
311502,132,10-20,5
311503,114,0-10,5
311504,162,0-10,5
311505,167,0-10,6
311506,125,0-10,4
311507,143,0-10,6
311508,132,0-10,4
311509,120,0-10,5
311601,611,0-10,5
311602,641,0-10,5
311603,212,0-10,5
311604,237,0-10,5
311605,388,0-10,6
311606,370,0-10,4
311607,333,20-30,5
311608,202,10-20,5
311609,361,20-30,6
311701,69,10-20,5
311702,105,0-10,5
311703,133,0-10,6
311704,72,0-10,6
311705,101,0-10,5
311706,107,0-10,6
311707,184,10-20,6
311708,160,0-10,6
311709,132,0-10,5
311801,381,0-10,5
311802,434,0-10,5
311803,402,0-10,5
311804,625,0-10,5
311805,209,0-10,5
311806,530,0-10,5
311807,608,0-10,6
311808,422,0-10,5
311809,411,0-10,5
311901,210,0-10,5
311902,200,0-10,5
311903,460,10-20,5
311904,410,0-10,5
311905,343,10-20,5
311906,312,0-10,5
311907,238,10-20,5
311908,396,20-30,5
311909,399,10-20,4
312001,1222,10-20,5
312002,1217,10-20,5
312003,467,10-20,5
312004,2705,10-20,5
312005,2756,10-20,5
312006,1320,10-20,5
312007,1035,10-20,5
312008,1806,10-20,5
312009,1879,10-20,5
312010,949,20-30,5
312011,2108,10-20,5
312101,78,0-10,5
312102,110,0-10,5
312103,47,0-10,6
312104,222,10-20,5
312105,332,0-10,4
312106,134,0-10,4
312107,284,0-10,4
312108,283,0-10,5
312109,189,0-10,5
312201,53,0-10,6
312202,48,0-10,6
312203,94,0-10,5
312204,48,0-10,6
312205,60,0-10,6
312206,24,0-10,4
312207,33,0-10,5
312208,79,0-10,5
312209,57,0-10,5
312301,187,0-10,6
312302,97,0-10,7
312303,112,0-10,8
312304,32,0-10,8
312305,33,0-10,7
312306,65,0-10,6
312307,33,0-10,7
312308,53,0-10,8
312309,164,0-10,7
312401,334,0-10,7
312402,53,0-10,6
312403,18,0-10,6
312404,391,0-10,7
312405,138,0-10,7
312406,55,0-10,6
312407,228,0-10,7
312408,153,0-10,6
312409,84,0-10,6
312501,116,0-10,6
312502,113,0-10,5
312503,39,0-10,6
312504,65,0-10,5
312505,49,0-10,7
312506,46,0-10,6
312507,47,0-10,6
312508,77,0-10,6
312509,72,0-10,7
312601,13,20-30,11
312602,41,0-10,6
312603,39,0-10,6
312604,13,0-10,6
312605,16,0-10,6
312606,35,0-10,6
312607,32,0-10,6
312608,45,0-10,5
312609,50,0-10,6
312701,74,0-10,5
312702,117,0-10,4
312703,141,0-10,6
312704,50,0-10,6
312705,127,10-20,6
312706,110,0-10,4
312707,51,0-10,6
312708,72,0-10,4
312709,47,0-10,5
312801,345,0-10,6
312802,217,0-10,5
312803,505,0-10,6
312804,376,0-10,5
312805,218,10-20,5
312806,178,10-20,5
312807,166,10-20,5
312808,316,10-20,5
312809,290,0-10,5
312901,201,0-10,5
312902,1137,0-10,6
312903,1180,0-10,5
312904,594,10-20,5
312905,190,10-20,5
312906,192,0-10,5
312907,667,0-10,5
312908,275,10-20,5
312909,107,10-20,5
313001,65,0-10,6
313002,70,0-10,5
313003,60,0-10,6
313004,47,0-10,5
313005,46,0-10,5
313006,77,0-10,5
